,Title,Price,Available_Colors,Available_Size,Item_Context,Url
0,Swim shorts,349,Light blue,"XS,S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-light-blue.html
1,Relaxed Fit Knee-length terry shorts,599,Dark grey,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-knee-length-terry-shorts-dark-grey.html
2,Relaxed Fit Knee-length terry shorts,599,Cream,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-knee-length-terry-shorts-cream.html
3,Relaxed Fit Knee-length terry shorts,599,Mint green,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-knee-length-terry-shorts-mint-green.html
4,Regular Fit Linen-blend overshirt,799,Light greige,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-linen-blend-overshirt-light-greige.html
5,Regular Fit T-shirt,249,Light pink/MTV,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-t-shirt-light-pink-mtv.html
6,Relaxed Fit Terry polo shirt,599,Mint green,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-terry-polo-shirt-mint-green.html
7,Relaxed Fit Terry polo shirt,599,Cream,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-terry-polo-shirt-cream.html
8,Relaxed Fit Sweatshorts,649,Purple/Coca-Cola,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshorts-purple-coca-cola.html
9,Zipped cardigan,749,Olive green,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-zipped-cardigan-olive-green.html
10,Loose Fit Sweatshorts,699,Black/Oranges,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-loose-fit-sweatshorts-black-oranges.html
11,Regular Fit Printed sweatshorts,449,Black/Nirvana,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-printed-sweatshorts-black-nirvana.html
12,Regular Fit Cotton T-shirt,229,Rust brown,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-cotton-t-shirt-rust-brown.html
13,Regular Fit Printed sweatshorts,449,Turquoise/Snoopy,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-printed-sweatshorts-turquoise-snoopy.html
14,Pyjama T-shirt and shorts,499,Orange/Care Bears,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-pyjama-t-shirt-and-shorts-orange-care-bears.html
15,Regular Fit T-shirt,249,Black/Nirvana,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-t-shirt-black-nirvana.html
16,Swim shorts,349,Yellow ochre,"XS,S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-yellow-ochre.html
17,Swim shorts,349,Navy blue,"XS,S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-navy-blue.html
18,Patterned swim shorts,349,Beige/Desert,"XS,S,M,L,XL",beach,https://eg.hm.com/en/buy-patterned-swim-shorts-beige-desert.html
19,Relaxed Fit T-shirt,299,Pale orange/Cyclists,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-t-shirt-pale-orange-cyclists.html
20,T-shirt Loose fit,249,Green,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-t-shirt-loose-fit-green.html
21,Short-sleeved sports top,249,Bright blue,"XS,S,M,L,XL",sport,https://eg.hm.com/en/buy-short-sleeved-sports-top-bright-blue.html
22,Relaxed Fit Hoodie,499,Yellow-beige,"XS,S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-hoodie-yellow-beige.html
23,Short-sleeve shirt Regular Fit,599,Beige/Striped,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-short-sleeve-shirt-regular-fit-beige-striped.html
24,Swim shorts,349,Dark brown,"XS,S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-dark-brown.html
25,Printed vest top,299,Black/Rick and Morty,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-printed-vest-top-black-rick-and-morty.html
26,Printed vest top,299,Turquoise/Tom and Jerry,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-printed-vest-top-turquoise-tom-and-jerry.html
27,2-pack pyjama bottoms,649,Blue/Palm trees,"XS,S,M,L,XL",lounge,https://eg.hm.com/en/buy-2-pack-pyjama-bottoms-blue-palm-trees.html
28,Relaxed Fit Cotton T-shirt,249,Orange/White striped,"XS,S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-orange-white-striped.html
29,2-pack pyjama shorts,449,Light blue/Grey marl,"XS,S,M,L,XL",lounge,https://eg.hm.com/en/buy-2-pack-pyjama-shorts-light-blue-grey-marl.html
30,3-pack T-shirts Slim fit,499,Beige/Dark blue,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-3-pack-t-shirts-slim-fit-beige-dark-blue.html
31,Swim shorts,349,Khaki green,"S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-khaki-green.html
32,Relaxed Fit Cotton T-shirt,249,Light green/Do Good,"S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-light-green-do-good.html
33,Regular Fit Linen trousers,899,Khaki green,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-linen-trousers-khaki-green.html
34,Oversized Fit Patterned cotton T-shirt,349,Light beige/Paisley-patterned,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-oversized-fit-patterned-cotton-t-shirt-light-beige-paisley-patterned.html
35,Oversized Fit Patterned cotton T-shirt,349,Orange/Paisley-patterned,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-oversized-fit-patterned-cotton-t-shirt-orange-paisley-patterned.html
36,Regular Fit Linen trousers,899,Light beige,"XS,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-linen-trousers-light-beige.html
37,Relaxed Fit Short-sleeved cotton shirt,399,Black/Paisley-patterned,"S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-short-sleeved-cotton-shirt-black-paisley-patterned.html
38,Cotton polo shirt,249,Light purple,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-cotton-polo-shirt-light-purple.html
39,Relaxed Fit Terry polo shirt,599,Steel blue,"XS,S,M,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-terry-polo-shirt-steel-blue.html
40,Short-sleeved hooded top,749,Light greige,"S,M,L,XL",sport,https://eg.hm.com/en/buy-short-sleeved-hooded-top-light-greige.html
41,Loose Fit Sports top,349,Light pink,"S,M,L,XL",sport,https://eg.hm.com/en/buy-loose-fit-sports-top-light-pink.html
42,Relaxed Fit Terry polo shirt,599,Dark grey,"XS,S,M,L",casual,https://eg.hm.com/en/buy-relaxed-fit-terry-polo-shirt-dark-grey.html
43,Linen-blend shirt Slim Fit,699,Rust orange/Striped,"XS,S,M,XL",casual,https://eg.hm.com/en/buy-linen-blend-shirt-slim-fit-rust-orange-striped.html
44,Patterned swim shorts,349,Turquoise/Patterned,"S,M,L,XL",beach,https://eg.hm.com/en/buy-patterned-swim-shorts-turquoise-patterned.html
45,Short-sleeved shirt Slim fit,599,Dark blue/Flowers,"S,M,L,XL",None,https://eg.hm.com/en/buy-short-sleeved-shirt-slim-fit-dark-blue-flowers.html
46,Short-sleeved shirt Slim fit,599,White/Tulips,"S,M,L,XL",None,https://eg.hm.com/en/buy-short-sleeved-shirt-slim-fit-white-tulips.html
47,Relaxed Fit Cotton T-shirt,249,Light pink/Mystic Order,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-light-pink-mystic-order.html
48,Regular Fit sweatshirt shorts,249,Mint green,"S,M,L,XL",sport,https://eg.hm.com/en/buy-regular-fit-sweatshirt-shorts-mint-green.html
49,Relaxed Fit Cotton T-shirt,249,Light beige/Solar Age,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-light-beige-solar-age.html
50,Regular Fit Linen-blend overshirt,799,White,"S,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-linen-blend-overshirt-white.html
51,Cotton polo shirt,249,Beige,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-cotton-polo-shirt-beige.html
52,Swim shorts,349,Black,"S,M,L,XL",beach,https://eg.hm.com/en/buy-swim-shorts-black.html
53,Regular Fit Linen trousers,899,Dark blue,"XS,M,L,XL",casual,https://eg.hm.com/en/buy-regular-fit-linen-trousers-dark-blue.html
54,Relaxed Fit Cotton T-shirt,249,White/Blueberries,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-white-blueberries.html
55,Regular Fit T-shirt,249,Grey/The Notorious B.I.G.,"XS,S,M,L",casual,https://eg.hm.com/en/buy-regular-fit-t-shirt-grey-notorious-big.html
56,Regular Fit Cotton polo shirt,249,Light beige,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-cotton-polo-shirt-light-beige.html
57,Muscle Fit Piqué polo shirt,299,"Turquoise,Beige,Dark blue,White,Dark orange","XXL,S,M,XL,L",casual,https://eg.hm.com/en/buy-muscle-fit-pique-polo-shirt-dark-orange.html
58,Regular Fit Sweatshirt shorts,249,Light turquoise,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-sweatshirt-shorts-light-turquoise.html
59,Relaxed Fit Cotton shorts,499,Dark khaki green,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-shorts-dark-khaki-green.html
60,Relaxed Fit Cotton sleeveless top,229,Dark grey/Dog,"S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-sleeveless-top-dark-grey-dog.html
61,Relaxed Fit Sweatshirt,249,Blue,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-blue.html
62,T-shirt with a motif,229,Light pink/Pursue Paradise,"S,M,L,XL",None,https://eg.hm.com/en/buy-t-shirt-motif-light-pink-pursue-paradise.html
63,T-shirt with a motif,229,White/Riviera Yacht Club,"S,M,L,XL",None,https://eg.hm.com/en/buy-t-shirt-motif-white-riviera-yacht-club.html
64,Relaxed Fit Cotton shorts,499,Black,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-shorts-black.html
65,Relaxed Fit Sweatshorts,499,Light beige/Paisley-patterned,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshorts-light-beige-paisley-patterned.html
66,Relaxed Fit Cotton sweatshorts,349,Orange/One Decade,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-sweatshorts-orange-one-decade.html
67,Cotton Shirt Muscle Fit,399,White,"S,M,L,XL",formal,https://eg.hm.com/en/buy-cotton-shirt-muscle-fit-white.html
68,Relaxed Fit Cotton sweatshorts,349,Black/Wildlands,"S,M,L,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-sweatshorts-black-wildlands.html
69,Relaxed Fit Cotton sweatshorts,349,Light green/Flower,"S,M,L,XL,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-sweatshorts-light-green-flower.html
70,Relaxed Fit Cotton T-shirt,399,Light blue/Leisure,"S,M,L",casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-light-blue-leisure.html
71,T-shirt with a motif,229,Light beige/Arizona Desert,"XS,S,XL",None,https://eg.hm.com/en/buy-t-shirt-motif-light-beige-arizona-desert.html
72,Ripstop utility gilet,699,Light beige,"M,L,XL,XXL",None,https://eg.hm.com/en/buy-ripstop-utility-gilet-light-beige.html
73,Loose Fit Sports top,349,Light blue,"S,M,L",sport,https://eg.hm.com/en/buy-loose-fit-sports-top-light-blue.html
74,Cotton polo shirt,249,Light orange,"S,M,L,XXL",casual,https://eg.hm.com/en/buy-cotton-polo-shirt-light-orange.html
75,Regular Fit Sports vest top,349,Brown,"S,M,XL",sport,https://eg.hm.com/en/buy-regular-fit-sports-vest-top-brown.html
76,Regular Fit Sports vest top,349,Black,"M,L,XL",sport,https://eg.hm.com/en/buy-regular-fit-sports-vest-top-black.html
77,Regular Fit Linen-mix joggers,749,Light grey,"XS,M,L",casual,https://eg.hm.com/en/buy-regular-fit-linen-mix-joggers-light-grey.html
78,Short-sleeve shirt Regular fit,349,Light green/Fruit,"S,M,L",None,https://eg.hm.com/en/buy-short-sleeve-shirt-regular-fit-light-green-fruit.html
79,Relaxed Fit Cargo joggers,749,Black,"S,M,L",None,https://eg.hm.com/en/buy-relaxed-fit-cargo-joggers-black.html
80,Ripstop utility gilet,699,Black,"M,L,XL,XXL",None,https://eg.hm.com/en/buy-ripstop-utility-gilet-black.html
81,Cropped running trousers,899,Black/Block-coloured,"M,L,XL",sport,https://eg.hm.com/en/buy-cropped-running-trousers-black-block-coloured.html
82,Relaxed Fit Cargo shorts,599,Black,"XS,S,L",casual,https://eg.hm.com/en/buy-relaxed-fit-cargo-shorts-black.html
83,Regular Fit Terry polo shirt,299,Navy blue,"M,XL",casual,https://eg.hm.com/en/buy-regular-fit-terry-polo-shirt-navy-blue.html
84,5-pack Slim Fit T-shirts,749,Blue/Turquoise/Grey,"S,L",casual,https://eg.hm.com/en/buy-5-pack-slim-fit-t-shirts-blue-turquoise-grey.html
85,Cargo joggers,899,Cream,"S,M",casual,https://eg.hm.com/en/buy-cargo-joggers-cream.html
86,Short-sleeve shirt Regular fit,349,Dark green/Monstera leaves,"M,L,XXL",None,https://eg.hm.com/en/buy-short-sleeve-shirt-regular-fit-dark-green-monstera-leaves.html
87,Relaxed Fit Short-sleeved linen-blend shirt,449,Light blue,"M,L,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-short-sleeved-linen-blend-shirt-light-blue.html
88,Relaxed Fit Linen-blend joggers,649,Dark grey,"M,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-linen-blend-joggers-dark-grey.html
89,Cotton Shirt Muscle Fit,399,White/Pinstriped,"S,M",formal,https://eg.hm.com/en/buy-cotton-shirt-muscle-fit-white-pinstriped.html
90,Relaxed Fit Cargo joggers,749,Beige,"S,M",None,https://eg.hm.com/en/buy-relaxed-fit-cargo-joggers-beige.html
91,Relaxed Fit Cotton T-shirt,399,Dark green/New Times,XS,casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-dark-green-new-times.html
92,Regular Fit Terry polo shirt,299,Terracotta,"XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-terry-polo-shirt-terracotta.html
93,Short-sleeve shirt Regular fit,349,Light blue/Tulips,L,None,https://eg.hm.com/en/buy-short-sleeve-shirt-regular-fit-light-blue-tulips.html
94,2-pack Relaxed Fit Short-sleeved shirts,499,Dark blue/Light beige,S,casual,https://eg.hm.com/en/buy-2-pack-relaxed-fit-short-sleeved-shirts-dark-blue-light-beige.html
95,Vest top,149,Dark grey,M,None,https://eg.hm.com/en/buy-vest-top-dark-grey.html
96,Swim shorts,349,Light pistachio green,XL,beach,https://eg.hm.com/en/buy-swim-shorts-light-pistachio-green.html
97,Regular Fit T-shirt,249,White/Snoopy,XS,casual,https://eg.hm.com/en/buy-regular-fit-t-shirt-white-snoopy.html
98,Fast-drying running shorts,649,Sage green,L,sport,https://eg.hm.com/en/buy-fast-drying-running-shorts-sage-green.html
99,Regular Fit Cotton T-shirt,249,Blue/Patterned,XS,casual,https://eg.hm.com/en/buy-regular-fit-cotton-t-shirt-blue-patterned.html
100,Sports shorts,649,Light grey,"M,XXL",sport,https://eg.hm.com/en/buy-sports-shorts-light-grey.html
101,Regular Fit Modal cigarette trousers,749,Light beige,"31,32,33,34",casual,https://eg.hm.com/en/buy-regular-fit-modal-cigarette-trousers-light-beige.html
102,Nylon cap,299,Grey,ONESIZE,sport,https://eg.hm.com/en/buy-nylon-cap-grey.html
103,2-pack sports socks,129,Yellow/Patterned,"40/42,43/45",sport,https://eg.hm.com/en/buy-2-pack-sports-socks-yellow-patterned.html
104,2-pack sports socks,129,Purple/Patterned,"40/42,43/45",sport,https://eg.hm.com/en/buy-2-pack-sports-socks-purple-patterned.html
105,Cotton twill trousers,749,Beige,"30,31,32,33,34,36",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-beige.html
106,Cotton twill trousers,749,Black,"30,32,33",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-black.html
107,5-pack trainer socks,249,Grey marl/Black/White,43/45,sport,https://eg.hm.com/en/buy-5-pack-trainer-socks-grey-marl-black-white.html
108,Regular Fit Modal cigarette trousers,749,Black,"30,31,32,33,34",casual,https://eg.hm.com/en/buy-regular-fit-modal-cigarette-trousers-black.html
109,Regular Fit Chino shorts,349,Light beige,"32,34,38",casual,https://eg.hm.com/en/buy-regular-fit-chino-shorts-light-beige.html
110,Cotton twill trousers,749,Cream,"32,33,34,36",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-cream.html
